Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7801051,37.9754328,11.5000000,0232.8,2023-02-15T11:34:57.758000,480537.71,4202824.12
023.7801163,37.9754214,11.5000000,0232.8,2023-02-15T11:34:58.307000,480538.69,4202822.85
023.7800664,37.9754172,11.1660000,0244.0,2023-02-15T11:34:59.307000,480534.31,4202822.40
023.7800133,37.9754709,10.6250000,0248.0,2023-02-15T11:35:00.308000,480529.66,4202828.37
023.7799928,37.9754788,10.2000000,0239.0,2023-02-15T11:35:01.314000,480527.86,4202829.25
023.7799834,37.9754744,10.0000000,0246.0,2023-02-15T11:35:02.310000,480527.03,4202828.76
023.7799866,37.9754631,08.4000000,0244.0,2023-02-15T11:35:03.311000,480527.31,4202827.51
023.7799910,37.9754678,07.1000000,0240.0,2023-02-15T11:35:04.311000,480527.70,4202828.03
023.7799936,37.9754765,06.4160000,0242.0,2023-02-15T11:35:05.304000,480527.93,4202828.99
023.7799965,37.9754830,05.3330000,0241.0,2023-02-15T11:35:06.309000,480528.18,4202829.71
023.7799982,37.9754866,03.4000000,0241.0,2023-02-15T11:35:07.314000,480528.33,4202830.11
023.7799991,37.9754887,02.8000000,0241.0,2023-02-15T11:35:08.314000,480528.41,4202830.35
023.7799966,37.9754880,02.4000000,0241.0,2023-02-15T11:35:09.314000,480528.19,4202830.27
023.7799902,37.9754861,02.2000000,0240.0,2023-02-15T11:35:10.307000,480527.63,4202830.06
023.7799805,37.9754841,02.1000000,0239.0,2023-02-15T11:35:11.312000,480526.78,4202829.84
023.7799684,37.9754829,02.4000000,0238.0,2023-02-15T11:35:12.309000,480525.72,4202829.71
023.7799567,37.9754807,02.3160000,0237.0,2023-02-15T11:35:13.309000,480524.69,4202829.47
023.7799440,37.9754790,02.3160000,0237.0,2023-02-15T11:35:14.305000,480523.57,4202829.28
023.7799301,37.9754780,02.3800000,0237.0,2023-02-15T11:35:15.315000,480522.35,4202829.17
023.7799170,37.9754766,02.3800000,0236.0,2023-02-15T11:35:16.319000,480521.20,4202829.02
023.7799023,37.9754742,02.3800000,0235.0,2023-02-15T11:35:17.315000,480519.91,4202828.76
023.7798875,37.9754715,02.3800000,0234.0,2023-02-15T11:35:18.310000,480518.61,4202828.46
023.7798721,37.9754723,02.3800000,0234.0,2023-02-15T11:35:19.313000,480517.26,4202828.55
023.7798591,37.9754768,02.3160000,0234.0,2023-02-15T11:35:20.309000,480516.12,4202829.05
023.7798464,37.9754836,02.3160000,0233.0,2023-02-15T11:35:21.314000,480515.00,4202829.81
023.7798340,37.9754892,02.6330000,0233.0,2023-02-15T11:35:22.311000,480513.91,4202830.44
023.7798209,37.9754918,02.3800000,0233.0,2023-02-15T11:35:23.310000,480512.76,4202830.73
023.7798104,37.9754921,02.3160000,0233.0,2023-02-15T11:35:24.311000,480511.84,4202830.76
023.7797992,37.9754936,02.3800000,0233.0,2023-02-15T11:35:25.311000,480510.86,4202830.93
023.7797883,37.9754956,02.3160000,0233.0,2023-02-15T11:35:26.314000,480509.90,4202831.16
023.7797782,37.9754967,02.3800000,0233.0,2023-02-15T11:35:27.315000,480509.02,4202831.28
023.7797684,37.9754992,02.3800000,0234.0,2023-02-15T11:35:28.312000,480508.16,4202831.56
023.7797625,37.9755011,02.3160000,0233.0,2023-02-15T11:35:29.309000,480507.64,4202831.77
023.7797581,37.9755002,02.4800000,0233.0,2023-02-15T11:35:30.315000,480507.25,4202831.67
023.7797585,37.9754960,02.4830000,0233.0,2023-02-15T11:35:31.313000,480507.29,4202831.21
023.7797585,37.9754936,02.5800000,0234.0,2023-02-15T11:35:32.318000,480507.28,4202830.94
023.7797586,37.9754923,02.5800000,0234.0,2023-02-15T11:35:33.316000,480507.29,4202830.80
023.7797588,37.9754915,02.5800000,0234.0,2023-02-15T11:35:34.318000,480507.31,4202830.71
023.7797590,37.9754909,02.4800000,0234.0,2023-02-15T11:35:35.315000,480507.33,4202830.64
023.7797592,37.9754904,02.4800000,0234.0,2023-02-15T11:35:36.318000,480507.35,4202830.58
023.7797594,37.9754901,02.7160000,0234.0,2023-02-15T11:35:37.315000,480507.36,4202830.55
023.7797596,37.9754900,02.5800000,0234.0,2023-02-15T11:35:38.317000,480507.38,4202830.54
023.7797543,37.9754944,02.6800000,0234.0,2023-02-15T11:35:39.319000,480506.92,4202831.03
023.7797479,37.9754977,02.7800000,0234.0,2023-02-15T11:35:40.319000,480506.35,4202831.40
023.7797396,37.9755026,02.7800000,0234.0,2023-02-15T11:35:41.318000,480505.63,4202831.94
023.7797316,37.9755056,02.7800000,0234.0,2023-02-15T11:35:42.316000,480504.92,4202832.28
023.7797225,37.9755066,02.7330000,0234.0,2023-02-15T11:35:43.317000,480504.13,4202832.39
023.7797144,37.9755065,02.7330000,0233.0,2023-02-15T11:35:44.312000,480503.41,4202832.38
023.7797047,37.9755062,02.7330000,0233.0,2023-02-15T11:35:45.315000,480502.56,4202832.35
023.7796939,37.9755047,02.7330000,0233.0,2023-02-15T11:35:46.317000,480501.61,4202832.18
023.7796841,37.9755036,02.7330000,0233.0,2023-02-15T11:35:47.313000,480500.75,4202832.06
023.7796753,37.9755053,02.5000000,0232.0,2023-02-15T11:35:48.312000,480499.98,4202832.26
023.7796666,37.9755079,02.5000000,0231.0,2023-02-15T11:35:49.319000,480499.22,4202832.55
023.7796574,37.9755097,02.5830000,0230.0,2023-02-15T11:35:50.309000,480498.41,4202832.75
023.7796470,37.9755137,02.6660000,0231.0,2023-02-15T11:35:51.310000,480497.50,4202833.19
023.7796374,37.9755201,02.9800000,0230.0,2023-02-15T11:35:52.313000,480496.66,4202833.91
023.7796271,37.9755268,02.9800000,0230.0,2023-02-15T11:35:53.315000,480495.75,4202834.65
023.7796174,37.9755349,02.9000000,0230.0,2023-02-15T11:35:54.314000,480494.90,4202835.55
023.7796108,37.9755423,02.8800000,0230.0,2023-02-15T11:35:55.313000,480494.33,4202836.37
023.7796067,37.9755468,02.7800000,0230.0,2023-02-15T11:35:56.315000,480493.97,4202836.87
023.7796041,37.9755494,02.7800000,0229.0,2023-02-15T11:35:57.315000,480493.74,4202837.16
023.7796000,37.9755523,02.7330000,0229.0,2023-02-15T11:35:58.315000,480493.38,4202837.49
023.7795958,37.9755553,02.7800000,0228.0,2023-02-15T11:35:59.317000,480493.01,4202837.82
023.7795888,37.9755599,02.6800000,0228.0,2023-02-15T11:36:00.315000,480492.40,4202838.33
023.7795795,37.9755639,02.5660000,0228.0,2023-02-15T11:36:01.313000,480491.58,4202838.78
023.7795697,37.9755669,02.5800000,0228.0,2023-02-15T11:36:02.318000,480490.72,4202839.11
023.7795586,37.9755705,02.4800000,0227.0,2023-02-15T11:36:03.317000,480489.75,4202839.51
023.7795484,37.9755727,02.3160000,0226.0,2023-02-15T11:36:04.311000,480488.85,4202839.76
023.7795409,37.9755770,02.1500000,0226.0,2023-02-15T11:36:05.312000,480488.20,4202840.24
